SITENAME,STATION,TRAMPFARMNAME,DESCRIPTION,DATERECEIVED,LABORATORYSAMPLENUMBER,TOTALBETA,OBT,H-3,C-14,C-14(N),S-35,SR-90,TC-99,I-125,CS-137+CS-134,PM-147,PO-210,PB-210,NP-237,PU-238,PU-241,AM-241 (chem),CM-242,PU-239+240,CM-243+244,K-40,CR-51,MN-54,CO-57,CO-58,CO-60,ZN-65,SE-75,NB-95,ZR-95,RU-103,RU-106,AG-110M,SB-124,SB-125,I-131 (Aq),CS-134,CS-137,CE-144,EU-154,EU-155,AM-241
Aldermaston,,AD11,UMK-Unpasteurised Milk,18/03/2020,20-425,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,56±4.2,NA,NA,NA,NA,<0.04,NA,<0.06,<0.35,<0.15,<0.36,<0.32,<0.06,NA,<0.09,NA,<0.02,<0.03,<0.22,<0.12,<0.09,NA
Aldermaston,,AD11,UMK-Unpasteurised Milk,18/03/2020,20-426,NA,NA,<2.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.000032±0.000016,NA,0.000011±0.000012,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Aldermaston,,AD11,UMK-Unpasteurised Milk,08/07/2020,20-1079,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,57±4.3,NA,NA,NA,NA,<0.04,NA,<0.05,<0.15,<0.20,<0.10,<0.29,<0.05,NA,<0.09,NA,<0.03,<0.03,<0.33,<0.12,<0.09,NA
Aldermaston,,AD11,UMK-Unpasteurised Milk,08/07/2020,20-1080,NA,NA,<2.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,<0.000026,NA,<0.000036,NA,<0.000026,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Aldermaston,,AD11,UMK-Unpasteurised Milk,30/09/2020,20-1690,NA,NA,<8.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,<0.000033,NA,0.000020±0.000012,NA,<0.000033,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Aldermaston,,AD11,UMK-Unpasteurised Milk,30/09/2020,20-1691,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,50±3.9,NA,NA,NA,NA,<0.06,NA,<0.08,<0.15,<0.16,<0.11,<0.48,<0.08,NA,<0.12,NA,<0.05,<0.05,<0.33,<0.18,<0.15,NA
Aldermaston,,AD11,UMK-Unpasteurised Milk,23/12/2020,20-2369,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,49±3.9,NA,NA,NA,NA,<0.10,NA,<0.08,<0.16,<0.16,<0.11,<0.48,<0.07,NA,<0.11,NA,<0.05,<0.05,<0.34,<0.19,<0.15,NA
Aldermaston,,AD11,UMK-Unpasteurised Milk,23/12/2020,20-2370,NA,NA,<2.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,<0.000040,NA,0.0000032±0.0000020,NA,<0.000028,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Aldermaston,,AD12,UMK-Unpasteurised Milk,11/06/2020,20-685,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,56±4.2,NA,NA,NA,NA,<0.04,NA,<0.06,<0.21,<0.15,<0.17,<0.32,<0.06,NA,<0.09,NA,<0.04,<0.02,<0.21,<0.12,<0.09,NA
Aldermaston,,AD12,UMK-Unpasteurised Milk,11/06/2020,20-686,NA,NA,<2.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,<0.000024,NA,0.000030±0.000018,NA,<0.000024,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Aldermaston,,AD12,UMK-Unpasteurised Milk,08/07/2020,20-1081,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,54±4.1,NA,NA,NA,NA,<0.04,NA,<0.05,<0.15,<0.12,<0.13,<0.29,<0.05,NA,<0.09,NA,<0.05,<0.05,<0.20,<0.11,<0.09,NA
Aldermaston,,AD12,UMK-Unpasteurised Milk,08/07/2020,20-1082,NA,NA,<2.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.000012±0.000012,NA,0.000014±0.000012,NA,0.0000062±0.0000059,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Aldermaston,,AD12,UMK-Unpasteurised Milk,02/09/2020,20-1440,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,55±4.1,NA,NA,NA,NA,<0.04,NA,<0.04,<0.07,<0.08,<0.06,<0.28,<0.05,NA,<0.09,NA,<0.05,<0.03,<0.42,<0.12,<0.09,NA
Aldermaston,,AD12,UMK-Unpasteurised Milk,02/09/2020,20-1441,NA,NA,<2.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,<0.000030,NA,<0.000049,NA,<0.000030,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Aldermaston,,AD12,UMK-Unpasteurised Milk,03/12/2020,20-2166,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,50±3.9,NA,NA,NA,NA,<0.06,NA,<0.08,<0.24,<0.15,<0.10,<0.48,<0.08,NA,<0.12,NA,<0.06,<0.05,<0.32,<0.19,<0.15,NA
Aldermaston,,AD12,UMK-Unpasteurised Milk,03/12/2020,20-2167,NA,NA,<2.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,<0.000027,NA,0.000014±0.000012,NA,0.0000086±0.0000098,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Aldermaston,,CROP,BAR - Barley,02/09/2020,20-1426,NA,NA,<3.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,<0.00015,NA,0.000085±0.000037,NA,0.000089±0.000041,NA,160±11,NA,NA,NA,NA,<0.06,NA,<0.05,<0.13,<0.09,<0.05,<0.36,<0.07,NA,<0.11,NA,<0.05,<0.04,<0.23,<0.18,<0.12,NA
Aldermaston,,CROP,POT - Potato,21/07/2020,20-1182,NA,NA,<4.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0000035±0.0000039,NA,0.00018±0.000059,NA,0.00016±0.000063,NA,98±7.2,NA,NA,NA,NA,<0.05,NA,<0.04,<0.04,<0.07,<0.04,<0.31,<0.05,NA,<0.10,NA,<0.05,<0.04,<0.36,<0.14,<0.10,NA
