SITENAME,STATION,TRAMPFARMNAME,DESCRIPTION,DATERECEIVED,LABORATORYSAMPLENUMBER,TOTALBETA,OBT,H-3,C-14,C-14(N),S-35,SR-90,TC-99,CS-137+CS-134,PM-147,PO-210,PB-210,NP-237,PU-238,PU-241,AM-241 (chem),CM-242,PU-239+240,CM-243+244,K-40,CR-51,MN-54,CO-57,CO-58,CO-60,ZN-65,SE-75,NB-95,ZR-95,RU-103,RU-106,AG-110M,SB-124,SB-125,I-131 (Aq),CS-134,CS-137,CE-144,EU-154,EU-155,AM-241
Aldermaston,,AD11,UMK-Unpasteurised Milk,15/03/2023,23-488,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,62±5.0,NA,NA,NA,NA,<0.06,NA,<0.06,<0.11,<0.11,<0.10,<0.41,<0.06,NA,<0.12,NA,<0.04,<0.04,<0.23,<0.15,<0.10,NA
Aldermaston,,AD11,UMK-Unpasteurised Milk,15/03/2023,23-489,NA,NA,<1.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,<0.000023,NA,<0.000043,NA,<0.000023,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Aldermaston,,AD11,UMK-Unpasteurised Milk,21/06/2023,23-1119,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,53±4.6,NA,NA,NA,NA,<0.02,NA,<0.04,<0.07,<0.07,<0.07,<0.24,<0.03,NA,<0.06,NA,<0.04,<0.02,<0.21,<0.08,<0.12,NA
Aldermaston,,AD11,UMK-Unpasteurised Milk,21/06/2023,23-1120,NA,NA,<1.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0000072±0.0000078,NA,0.000017±0.000012,NA,0.000017±0.000012,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Aldermaston,,AD12,UMK-Unpasteurised Milk,15/02/2023,23-539,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,56±4.9,NA,NA,NA,NA,<0.02,NA,<0.04,<0.07,<0.07,<0.07,<0.23,<0.07,NA,<0.06,NA,<0.02,<0.02,<0.22,<0.08,<0.12,NA
Aldermaston,,AD12,UMK-Unpasteurised Milk,15/02/2023,23-540,NA,NA,<1.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,<0.000020,NA,0.000028±0.000018,NA,<0.000020,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Aldermaston,,AD12,UMK-Unpasteurised Milk,21/06/2023,23-1122,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,51±3.6,NA,NA,NA,NA,<0.04,NA,<0.06,<0.10,<0.11,<0.07,<0.37,<0.06,NA,<0.09,NA,<0.04,<0.04,<0.23,<0.14,<0.10,NA
Aldermaston,,AD12,UMK-Unpasteurised Milk,21/06/2023,23-1123,NA,NA,<1.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,<0.000027,NA,0.000026±0.000020,NA,<0.000027,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Aldermaston,,AD12,UMK-Unpasteurised Milk,15/08/2023,23-2101,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,50±3.6,NA,NA,NA,NA,<0.04,NA,<0.07,<0.21,<0.15,<0.17,<0.37,<0.06,NA,<0.08,NA,<0.03,<0.03,<0.26,<0.11,<0.11,NA
Aldermaston,,AD12,UMK-Unpasteurised Milk,15/08/2023,23-2102,NA,NA,<1.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,<0.000027,NA,<0.000042,NA,<0.000027,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Aldermaston,,AD12,UMK-Unpasteurised Milk,12/01/2024,23-2549,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,53±4.2,NA,NA,NA,NA,<0.07,NA,<0.09,<0.21,<0.20,<0.15,<0.55,<0.09,NA,<0.13,NA,<0.03,<0.06,<0.27,<0.22,<0.12,NA
Aldermaston,,AD12,UMK-Unpasteurised Milk,12/01/2024,23-2550,NA,NA,7.1±5.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,<0.000025,NA,0.0000098±0.0000078,NA,<0.000025,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Aldermaston,,AD13,UMK-Unpasteurised Milk,13/09/2023,23-1720,NA,NA,<1.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0000047±0.0000020,NA,0.000012±0.000012,NA,0.0000073±0.0000078,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Aldermaston,,AD13,UMK-Unpasteurised Milk,13/09/2023,23-1721,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,56±4.8,NA,NA,NA,NA,<0.02,NA,<0.06,<0.18,<0.12,<0.16,<0.26,<0.04,NA,<0.06,NA,<0.03,<0.02,<0.24,<0.08,<0.12,NA
Aldermaston,,AD13,UMK-Unpasteurised Milk,06/12/2023,23-2436,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,52±3.7,NA,NA,NA,NA,<0.04,NA,<0.07,<0.13,<0.12,<0.11,<0.36,<0.05,NA,<0.09,NA,<0.04,<0.04,<0.34,<0.13,<0.19,NA
Aldermaston,,AD13,UMK-Unpasteurised Milk,06/12/2023,23-2437,NA,NA,7.1±5.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,<0.000023,NA,0.0000022±0.0000020,NA,0.0000075±0.0000078,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Aldermaston,,CROP,OAT - Oats,17/10/2023,23-2118,NA,NA,<25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,<0.000074,NA,0.00011±0.000065,NA,0.000079±0.000049,NA,120±9.2,NA,NA,NA,NA,<0.12,NA,<0.18,<0.20,<0.27,<0.19,<1.2,<0.16,NA,<0.32,NA,<0.24,<0.13,<0.84,<0.38,<0.40,NA
Aldermaston,,CROP,POT - Potato,12/07/2023,23-1211,NA,NA,6.0±3.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,<0.000036,NA,0.00011±0.000051,NA,0.000073±0.000033,NA,110±7.5,NA,NA,NA,NA,<0.05,NA,<0.05,<0.05,<0.07,<0.04,<0.35,<0.06,NA,<0.10,NA,<0.04,<0.04,<0.25,<0.17,<0.14,NA
